Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
 1050   3160 16200 1.5e-07 3.3e-09 3.010 0.3175 6281.98 0.0192 0.7082 0.1687 0.7158 0.2622 0.4536 1.4315
 3090   9310 48700 5.1e-08 1.1e-09 3.013 0.4315 6270.17 0.2072 0.7081 0.1625 0.7167 0.2621 0.4545 1.4333
 3320  10000 53600 4.7e-08 1.0e-09 3.012 0.4016 6300.41 0.2741 0.7053 0.2435 0.7174 0.2618 0.4556 1.4348
 2550   7680 41200 6.2e-08 1.3e-09 3.012 0.3922 6261.86 0.3394 0.7102 0.4561 0.7174 0.2618 0.4556 1.4348
 1400   4220 30099 1.1e-07 1.8e-09 3.014 0.4762 6305.62 0.3571 0.7046 0.3456 0.7255 0.2593 0.4663 1.4511
 1540   4640 34000 1.0e-07 1.6e-09 3.013 0.4329 6294.21 0.1755 0.7038 0.4483 0.7261 0.2590 0.4671 1.4522
 1400   4220 34000 1.1e-07 1.6e-09 3.014 0.4762 6292.86 0.1540 0.7059 0.1608 0.7284 0.2584 0.4700 1.4567
 1870   5620 49900 8.2e-08 1.1e-09 3.005 0.1783 6287.50 0.0687 0.7036 0.4765 0.7298 0.2572 0.4727 1.4596
 1400   4220 36500 1.1e-07 1.5e-09 3.014 0.4762 6272.71 0.1667 0.7051 0.2756 0.7299 0.2579 0.4720 1.4597
 1540   4640 42200 1.0e-07 1.3e-09 3.013 0.4329 6267.77 0.2453 0.7054 0.2289 0.7308 0.2575 0.4733 1.4616
 1870   5620 54900 8.2e-08 1.0e-09 3.005 0.1783 6286.93 0.0596 0.7053 0.2371 0.7316 0.2566 0.4751 1.4633
 1540   4640 45300 1.0e-07 1.2e-09 3.013 0.4329 6296.53 0.2124 0.7099 0.4121 0.7321 0.2570 0.4751 1.4642
 1400   4220 42200 1.1e-07 1.3e-09 3.014 0.4762 6266.42 0.2668 0.7070 0.0025 0.7326 0.2569 0.4757 1.4653
 1540   4640 49900 1.0e-07 1.1e-09 3.013 0.4329 6266.06 0.2726 0.7081 0.1560 0.7338 0.2565 0.4774 1.4676
 1540   4640 54900 1.0e-07 1.0e-09 3.013 0.4329 6265.49 0.2817 0.7095 0.3538 0.7353 0.2559 0.4794 1.4706
 1400   4220 49900 1.1e-07 1.1e-09 3.014 0.4762 6264.71 0.2941 0.7095 0.3515 0.7354 0.2560 0.4794 1.4708

--- 40.228482008 seconds ---
